ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2016,2016,0,Total,62671,11031,"Census Tract 958, Kings County, NY",14000US36047095800
2016,2016,0,Total,70298,15342,"Census Tract 962, Kings County, NY",14000US36047096200
2016,2016,0,Total,58542,11544,"Census Tract 964, Kings County, NY",14000US36047096400
2016,2016,0,Total,63472,15231,"Census Tract 966, Kings County, NY",14000US36047096600
2016,2016,0,Total,62308,36266,"Census Tract 968, Kings County, NY",14000US36047096800
2016,2016,0,Total,76094,19779,"Census Tract 970, Kings County, NY",14000US36047097000
2016,2016,0,Total,60417,5226,"Census Tract 974, Kings County, NY",14000US36047097400
2016,2016,0,Total,23279,5676,"Census Tract 982, Kings County, NY",14000US36047098200
2016,2016,0,Total,67961,7371,"Census Tract 984, Kings County, NY",14000US36047098400
2016,2016,0,Total,66845,8299,"Census Tract 986, Kings County, NY",14000US36047098600
2016,2016,0,Total,65921,24760,"Census Tract 988, Kings County, NY",14000US36047098800
2016,2016,0,Total,88824,11304,"Census Tract 990, Kings County, NY",14000US36047099000
2016,2016,0,Total,67411,18860,"Census Tract 992, Kings County, NY",14000US36047099200
2016,2016,0,Total,65489,14129,"Census Tract 994, Kings County, NY",14000US36047099400
2016,2016,0,Total,69444,20487,"Census Tract 996, Kings County, NY",14000US36047099600
2016,2016,0,Total,71829,14525,"Census Tract 998, Kings County, NY",14000US36047099800
2016,2016,0,Total,68700,10843,"Census Tract 1004, Kings County, NY",14000US36047100400
2016,2016,0,Total,78304,15060,"Census Tract 1006, Kings County, NY",14000US36047100600
2016,2016,0,Total,62794,7976,"Census Tract 1008, Kings County, NY",14000US36047100800
2016,2016,0,Total,59386,15548,"Census Tract 1010, Kings County, NY",14000US36047101000
2016,2016,0,Total,54375,14289,"Census Tract 1012, Kings County, NY",14000US36047101200
2016,2016,0,Total,60625,8057,"Census Tract 1014, Kings County, NY",14000US36047101400
2016,2016,0,Total,98821,13939,"Census Tract 1016, Kings County, NY",14000US36047101600
2016,2016,0,Total,71650,21584,"Census Tract 1018, Kings County, NY",14000US36047101800
2016,2016,0,Total,96000,25287,"Census Tract 1020, Kings County, NY",14000US36047102000
