UID,Borough,BreedName
700,Manhattan,"Bull Dog, French"
701,Brooklyn,Boston Terrier
702,Brooklyn,Maltese
703,Manhattan,American Pit Bull Mix / Pit Bull Mix
704,Manhattan,"Bull Dog, French"
705,Manhattan,Irish Terrier
706,Manhattan,Havanese
707,Queens,Border Collie
708,Brooklyn,English Springer Spaniel
709,Manhattan,Chihuahua
710,Brooklyn,Boston Terrier
711,Queens,Pomeranian
712,Manhattan,Doberman Pinscher
713,Manhattan,Unknown
714,Brooklyn,Yorkshire Terrier
715,Staten Island,Maltese
716,Manhattan,Chihuahua
717,Bronx,Shih Tzu
718,Manhattan,Unknown
719,Manhattan,Cairn Terrier
720,Manhattan,Unknown
721,Brooklyn,Chihuahua
722,Manhattan,Tibetan Terrier
723,Brooklyn,Chihuahua
724,Brooklyn,Puggle
725,Bronx,"Poodle, Miniature"
726,Manhattan,Beagle
727,Manhattan,"Schnauzer, Miniature"
728,Queens,Shih Tzu
729,Queens,Pomeranian
730,Brooklyn,Unknown
731,Manhattan,Labrador Retriever
732,Brooklyn,Yorkshire Terrier
733,Bronx,Unknown
734,Queens,Boxer
735,Brooklyn,Labrador Retriever
736,Manhattan,Havanese
737,Brooklyn,Poodle
738,Brooklyn,Unknown
739,Brooklyn,Cocker Spaniel
740,Manhattan,Wheaton Terrier
741,Bronx,Cocker Spaniel
742,Brooklyn,Cavalier King Charles Spaniel
743,Queens,Labrador Retriever
744,Manhattan,Maltese
745,Manhattan,Poodle
746,Staten Island,Maltese
747,Brooklyn,Yorkshire Terrier
748,Queens,Yorkshire Terrier
749,Staten Island,Labrador Retriever Crossbreed
750,Queens,German Shepherd Crossbreed
751,Queens,American Pit Bull Terrier/Pit Bull
752,Bronx,German Shepherd Dog
753,Manhattan,Chow Chow
754,Bronx,Beagle Crossbreed
755,Queens,Yorkshire Terrier
756,Manhattan,Labrador Retriever
757,Manhattan,Chihuahua
758,Queens,Yorkshire Terrier
759,Bronx,Tibetan Spaniel
760,Staten Island,Miniature Pinscher
761,Manhattan,Siberian Husky
762,Queens,Labrador Retriever
763,Queens,Cavalier King Charles Spaniel
764,Queens,"Bull Dog, English"
765,Queens,Unknown
766,Manhattan,Chihuahua
767,Brooklyn,Miniature Schnauzer
768,Brooklyn,Chihuahua
769,Brooklyn,Havanese
770,Queens,Shih Tzu
771,Queens,Unknown
772,Brooklyn,Unknown
773,Manhattan,Toy Fox Terrier
774,Queens,Shih Tzu
775,Manhattan,Akita
776,Queens,Cavalier King Charles Spaniel
777,Manhattan,Beagle
778,Brooklyn,Havanese
779,Staten Island,Shih Tzu
780,Brooklyn,Shih Tzu
781,Manhattan,Unknown
782,Brooklyn,Australian Shepherd
783,Queens,Beagle Crossbreed
784,Queens,American Pit Bull Terrier/Pit Bull
785,Queens,Bichon Frise
786,Manhattan,"Shar-Pei, Chinese"
787,Bronx,Pekingese
788,Queens,Shih Tzu
789,Brooklyn,Australian Shepherd
790,Brooklyn,Portuguese Podengo Pequeno
791,Manhattan,Italian Greyhound
792,Manhattan,"Schnauzer, Miniature"
793,Brooklyn,Pomeranian
794,Brooklyn,Labrador Retriever Crossbreed
795,Brooklyn,Australian Shepherd
796,Staten Island,Labrador Retriever Crossbreed
797,Manhattan,American Pit Bull Mix / Pit Bull Mix
798,Manhattan,Shih Tzu
799,Brooklyn,Welsh Terrier
800,Manhattan,Havanese
801,Manhattan,Yorkshire Terrier
802,Manhattan,Unknown
803,Queens,Labrador Retriever
804,Manhattan,Cavalier King Charles Spaniel
805,Queens,Siberian Husky
806,Manhattan,Cavalier King Charles Spaniel
807,Queens,Miniature Pinscher
808,Staten Island,Unknown
809,Manhattan,Labrador Retriever
810,Brooklyn,American Pit Bull Terrier/Pit Bull
811,Brooklyn,Yorkshire Terrier
812,Queens,Maltese
813,Manhattan,German Shorthaired Pointer
814,Queens,"Poodle, Toy"
815,Bronx,American Pit Bull Mix / Pit Bull Mix
816,Bronx,Beagle
817,Staten Island,Dachshund
818,Brooklyn,Yorkshire Terrier
819,Brooklyn,"Schnauzer, Miniature"
820,Staten Island,Rottweiler
821,Manhattan,Labrador Retriever Crossbreed
822,Manhattan,Great Dane
823,Queens,Unknown
824,Queens,Unknown
825,Brooklyn,Shih Tzu
826,Brooklyn,Unknown
827,Queens,American Pit Bull Mix / Pit Bull Mix
828,Manhattan,Catahoula Leopard Dog
829,Manhattan,Tibetan Terrier
830,Manhattan,Labrador Retriever Crossbreed
831,Manhattan,Shetland Sheepdog
832,Staten Island,German Shepherd Dog
833,Staten Island,Beagle
834,Manhattan,Poodle
835,Manhattan,Labrador Retriever
836,Brooklyn,Golden Retriever
837,Brooklyn,Bassett Hound
838,Manhattan,Rat Terrier
839,Manhattan,Labrador Retriever
840,Manhattan,Labrador Retriever
841,Manhattan,Miniature Pinscher
842,Manhattan,Yorkshire Terrier
843,Manhattan,Unknown
844,Manhattan,Unknown
845,Manhattan,Chihuahua
846,Manhattan,Bloodhound
847,Brooklyn,Boxer
848,Brooklyn,Unknown
849,Manhattan,Cocker Spaniel
850,Manhattan,Cocker Spaniel
851,Queens,Unknown
852,Manhattan,Dachshund
853,Brooklyn,American Staffordshire Terrier 
854,Manhattan,Australian Cattle Dog
