UID,Borough,Gender
1170,Manhattan,F
1171,Queens,F
1172,Manhattan,F
1173,Manhattan,M
1174,Queens,M
1175,Manhattan,F
1176,Manhattan,M
1177,Bronx,F
1178,Manhattan,F
1179,Brooklyn,M
1180,Manhattan,M
1181,Manhattan,F
1182,Brooklyn,M
1183,Brooklyn,F
1184,Bronx,M
1185,Manhattan,M
1186,Brooklyn,M
1187,Bronx,M
1188,Manhattan,F
1189,Queens,F
1190,Brooklyn,M
1191,Brooklyn,M
1192,Manhattan,M
1193,Queens,M
1194,Manhattan,M
1195,Brooklyn,F
1196,Manhattan,M
1197,Manhattan,M
1198,Manhattan,F
1199,Manhattan,M
1201,Queens,F
1202,Manhattan,M
1203,Manhattan,M
1204,Brooklyn,F
1205,Brooklyn,F
1206,Queens,F
1207,Queens,F
1208,Brooklyn,F
1209,Bronx,M
1210,Brooklyn,M
1211,Brooklyn,M
1212,Brooklyn,M
1213,Queens,M
1214,Queens,F
1215,Queens,M
1216,Staten Island,F
1217,Queens,M
1218,Brooklyn,M
1219,Staten Island,M
1220,Manhattan,F
1221,Brooklyn,F
1222,Manhattan,F
1223,Bronx,M
1224,Bronx,F
1225,Queens,M
1226,Manhattan,M
1227,Brooklyn,M
1228,Brooklyn,M
1229,Manhattan,F
1230,Brooklyn,F
1231,Queens,F
1232,Staten Island,M
1233,Manhattan,F
1234,Manhattan,F
1236,Manhattan,M
1237,Manhattan,M
1238,Brooklyn,M
1239,Queens,M
1240,Brooklyn,M
1241,Manhattan,F
1242,Brooklyn,M
1243,Queens,M
1244,Manhattan,F
1245,Queens,M
1246,Manhattan,F
1247,Staten Island,F
1248,Brooklyn,F
1249,Bronx,F
1250,Manhattan,M
1251,Manhattan,M
1252,Bronx,M
1253,Bronx,M
1254,Brooklyn,M
1255,Manhattan,F
1256,Queens,M
1257,Brooklyn,M
1258,Manhattan,M
1259,Manhattan,M
1260,Manhattan,F
1261,Brooklyn,M
1262,Manhattan,M
1263,Queens,M
1264,Brooklyn,M
1265,Brooklyn,F
1266,Brooklyn,M
1267,Manhattan,F
1268,Queens,F
1269,Brooklyn,F
1270,Manhattan,F
1271,Queens,F
1272,Brooklyn,F
1273,Manhattan,F
1274,Manhattan,F
1275,Manhattan,M
1276,Bronx,M
1277,Manhattan,F
1278,Bronx,M
1279,Queens,M
1280,Manhattan,M
1281,Brooklyn,M
1282,Manhattan,F
1283,Manhattan,M
1284,Brooklyn,F
1285,Queens,M
1286,Bronx,M
1287,Manhattan,F
1288,Manhattan,M
1289,Manhattan,F
1290,Brooklyn,M
1291,Brooklyn,F
1292,Brooklyn,M
1293,Brooklyn,F
1294,Brooklyn,F
1295,Brooklyn,M
1296,Brooklyn,M
1297,Manhattan,M
1298,Manhattan,M
1299,Brooklyn,F
1300,Manhattan,M
1301,Manhattan,F
1302,Manhattan,F
1303,Manhattan,M
1304,Brooklyn,F
1305,Manhattan,F
1306,Manhattan,M
1307,Brooklyn,F
1308,Brooklyn,F
1309,Queens,M
1310,Brooklyn,F
1311,Brooklyn,M
1312,Manhattan,M
1313,Manhattan,M
1314,Brooklyn,F
1315,Brooklyn,M
1316,Manhattan,M
1317,Manhattan,F
1318,Manhattan,F
1319,Manhattan,F
1320,Brooklyn,M
1321,Manhattan,F
1322,Manhattan,M
1323,Manhattan,M
1324,Bronx,F
1325,Queens,F
1326,Queens,M
1327,Queens,M
1328,Manhattan,F
1329,Manhattan,M
1330,Manhattan,M
1331,Brooklyn,F
1332,Manhattan,F
1333,Brooklyn,F
1334,Brooklyn,M
1335,Brooklyn,M
1336,Manhattan,F
1337,Manhattan,F
1338,Brooklyn,M
1339,Brooklyn,F
1340,Manhattan,M
1341,Brooklyn,M
1342,Manhattan,M
1343,Queens,M
1344,Brooklyn,M
1345,Manhattan,M
1346,Staten Island,M
1347,Queens,F
1348,Bronx,F
1349,Manhattan,M
1350,Brooklyn,F
1351,Manhattan,M
1352,Manhattan,M
1353,Brooklyn,F
1354,Manhattan,M
1355,Queens,F
1356,Manhattan,F
1357,Brooklyn,F
1358,Brooklyn,M
1359,Brooklyn,M
1360,Manhattan,F
1361,Brooklyn,F
1362,Manhattan,M
1363,Queens,M
1364,Manhattan,M
1365,Brooklyn,M
1366,Manhattan,F
1367,Manhattan,F
1368,Manhattan,F
1369,Queens,F
1370,Brooklyn,M
1371,Brooklyn,F
1372,Manhattan,M
1373,Brooklyn,F
1374,Manhattan,M
1375,Queens,F
1376,Queens,M
1377,Manhattan,M
1378,Manhattan,F
1379,Queens,F
1380,Manhattan,M
1381,Manhattan,F
1382,Queens,M
1383,Manhattan,F
1384,Manhattan,F
1385,Manhattan,F
1386,Brooklyn,M
1387,Manhattan,F
1388,Manhattan,M
1389,Bronx,M
