UID,Borough,Name
439,Brooklyn,TUNA
440,Brooklyn,BEAR
441,Brooklyn,CHARLY
442,Staten Island,CHEWY 
443,Manhattan,CHITO
444,Staten Island,JASMINE 
445,Manhattan,SCOUT
446,Bronx,DANNY
447,Manhattan,DAKOTA
448,Brooklyn,ZAI 
449,Brooklyn,COOKIE
450,Staten Island,GRACIE 
451,Brooklyn,NUCKY 
452,Brooklyn,ANGEL
453,Queens,LILY
454,Brooklyn,SWEETIE
455,Brooklyn,SPENCER
456,Brooklyn,SKIPPY
457,Manhattan,BANDIT
458,Queens,CUSHI
459,Manhattan,DAX
460,Manhattan,BROOKLYN
461,Manhattan,JORDAN
462,Brooklyn,MAYBELLENE
463,Queens,MIA 
464,Manhattan,MARSHMALLOW
465,Manhattan,TRAVIS
466,Brooklyn,PRINCE
467,Manhattan,BENJAMIN
468,Manhattan,BEEZIE
469,Queens,HENDRIX
470,Brooklyn,CLARA
471,Manhattan,WAXEY 
472,Manhattan,ROO
473,Queens,CODY
474,Brooklyn,OTIS
475,Manhattan,ALEX
476,Manhattan,DELILAH 
477,Manhattan,LAYLA 
478,Brooklyn,ZAPPA 
479,Brooklyn,ZOEY 
480,Manhattan,NIKKO
481,Manhattan,MURPHY
482,Brooklyn,WATSON
483,Brooklyn,MOJO
484,Bronx,SCOOBY
485,Brooklyn,SASHA
486,Queens,BIANCO
487,Manhattan,RIVER
488,Manhattan,LUNA
489,Manhattan,ELLA
490,Manhattan,BENDELS
491,Queens,DOORY
492,Manhattan,POLLY
493,Bronx,LUNA
494,Queens,TOOTSIE
495,Queens,BETSY 
496,Queens,CHANTILLY
497,Manhattan,MILES 
498,Queens,CLIFFORD
499,Queens,ROXY
500,Brooklyn,VOLTAIRE
501,Manhattan,DODGER
502,Brooklyn,DIESEL
503,Queens,BOOMER
504,Manhattan,PENNY 
505,Manhattan,PHOENXI
506,Manhattan,FRANKIE
507,Manhattan,FELLA
508,Manhattan,FEE-FI 
509,Manhattan,AJ 
510,Manhattan,AMY 
511,Manhattan,CASH
512,Manhattan,OLIVIA
513,Manhattan,DIZZY
514,Manhattan,XIAO 
515,Manhattan,BARKLEY 
516,Staten Island,COOKIE
517,Bronx,CYPHA
518,Brooklyn,WALLY 
519,Bronx,JASPER 
520,Manhattan,COCO
521,Manhattan,MAX
522,Manhattan,HUMPHREY
523,Manhattan,CHARLIE
524,Brooklyn,BODHI
525,Manhattan,RAMIRO
526,Brooklyn,REGGIE
527,Brooklyn,TUCKER
528,Manhattan,DUDLEY 
529,Queens,LUCKY
530,Manhattan,TOBY
531,Manhattan,BENZO
532,Brooklyn,SHADOW
533,Bronx,PERLA 
534,Manhattan,LEROY
535,Brooklyn,TALULLAH 
536,Brooklyn,SORU
537,Brooklyn,SHADOW 
538,Queens,MAX
539,Manhattan,BEAR 
540,Manhattan,BONACKER
541,Queens,HERMAN
542,Brooklyn,RO 
543,Queens,ELLIE
544,Manhattan,SAMMY
545,Manhattan,IVY
546,Brooklyn,CHEWBACCA
547,Manhattan,HUMFREY 
548,Queens,JUNE 
549,Manhattan,GOBI 
550,Queens,OSCAR
551,Manhattan,GIBBY
552,Manhattan,LOUIS
553,Manhattan,ZACK
554,Manhattan,BAILEY
555,Manhattan,ROXIE
556,Manhattan,ROMEO
557,Manhattan,GIZMO
558,Brooklyn,SASHA
559,Manhattan,MADELINA
560,Brooklyn,BETTY
561,Manhattan,LYDIA
562,Staten Island,EMMY 
563,Brooklyn,BARTHOLOMEW 
564,Staten Island,JJYODAA
565,Staten Island,JENNY
566,Queens,ME 
567,Queens,SAM
568,Queens,CASPER 
569,Staten Island,CARLY 
570,Brooklyn,GABE
571,Staten Island,LOLA
572,Manhattan,LEXY 
573,Manhattan,NAKIA
574,Manhattan,BACON
575,Manhattan,BRIX
576,Manhattan,FRITZ
577,Brooklyn,SOFIE
578,Manhattan,MILEY
579,Manhattan,BLU
580,Manhattan,LUKE
581,Manhattan,PUFFY
582,Manhattan,ELVIS
583,Manhattan,RAWLY
584,Bronx,HARLEY
585,Queens,CHESTER
586,Queens,GUINNESS
587,Manhattan,STELLA
588,Brooklyn,SWEEPEA 
589,Bronx,TACO
590,Manhattan,CUPCAKES
591,Queens,ROCKY
592,Queens,ROOSEVELT
593,Bronx,ROSIE
594,Brooklyn,ROSS
595,Manhattan,ZOE
596,Brooklyn,KITA
597,Manhattan,BARKLEY
598,Queens,BUDDY
599,Brooklyn,CASSIE
600,Brooklyn,TITUS
601,Manhattan,MELODY 
602,Manhattan,BEANS
603,Manhattan,HATCHI
604,Queens,HENRIK
605,Manhattan,REESE
606,Queens,ONYX
607,Manhattan,LOCA
608,Brooklyn,BROOKE
609,Brooklyn,WILLIS
610,Bronx,KOKO 
611,Manhattan,ODIE 
612,Brooklyn,MAX
613,Manhattan,BENNY
614,Brooklyn,MAGICK
615,Queens,DULCE
616,Brooklyn,LUNA
617,Queens,TIGER
618,Brooklyn,SAM 
619,Brooklyn,HOWARD
620,Queens,MAX
621,Manhattan,JACKSON 
622,Bronx,JADE
623,Brooklyn,BEETHOVEN
624,Brooklyn,Q 
625,Queens,RIO
626,Brooklyn,APOLLO
627,Queens,PACKARD 
628,Brooklyn,DEXTER
629,Manhattan,WINSTON 
630,Brooklyn,ZIPPY
631,Manhattan,KINGSTON
632,Brooklyn,ROCKY
633,Brooklyn,WATSON
634,Queens,KAI 
635,Brooklyn,CYCLOPSE
636,Manhattan,CODY
637,Manhattan,LEO
638,Brooklyn,GRACIE
639,Brooklyn,ONYX
640,Brooklyn,CARLY
641,Manhattan,BUDDY
642,Manhattan,FOXY
643,Manhattan,FRENCHIE
644,Manhattan,ADDISON
645,Manhattan,ANNIE
646,Manhattan,SUKI
647,Manhattan,LUCHIOUS
648,Brooklyn,BENJI
649,Brooklyn,BENJAMIN
650,Manhattan,BEAKER
651,Manhattan,EASTER
652,Manhattan,PINKY 
653,Brooklyn,SCOUT
654,Staten Island,SHELDON
655,Staten Island,CHINO
656,Manhattan,CHIP
657,Queens,MOMO
658,Manhattan,SCARLETT
659,Manhattan,MAXIMUS
660,Manhattan,HUDSON
661,Queens,DUKE
662,Queens,BONITA 
663,Brooklyn,BLACKY 
664,Queens,TY
665,Brooklyn,RILEY
666,Bronx,RIO 
667,Queens,QQ
668,Bronx,SWEET 
669,Manhattan,LITA
670,Manhattan,LOLA
671,Manhattan,FRANK 
672,Brooklyn,SOFIA
673,Manhattan,BRUNO
674,Manhattan,LEAH
675,Queens,LAMBO
676,Brooklyn,KATIE
677,Queens,ROCKY
678,Manhattan,ROSA
679,Manhattan,COCO
680,Bronx,BUCKET
681,Manhattan,ZACH
682,Queens,ZOE
683,Brooklyn,NEMO
