UID,Borough,BirthMonth
518,Brooklyn,3
519,Bronx,12
520,Manhattan,12
521,Manhattan,4
522,Manhattan,5
523,Manhattan,11
524,Brooklyn,5
525,Manhattan,5
526,Brooklyn,12
527,Brooklyn,8
528,Manhattan,1
529,Queens,10
530,Manhattan,5
531,Manhattan,1
532,Brooklyn,7
533,Bronx,1
534,Manhattan,3
535,Brooklyn,8
536,Brooklyn,12
537,Brooklyn,11
538,Queens,2
539,Manhattan,1
540,Manhattan,4
541,Queens,11
542,Brooklyn,3
543,Queens,1
544,Manhattan,11
545,Manhattan,10
546,Brooklyn,5
547,Manhattan,6
548,Queens,9
549,Manhattan,6
550,Queens,3
551,Manhattan,8
552,Manhattan,11
553,Manhattan,6
554,Manhattan,10
555,Manhattan,3
556,Manhattan,5
557,Manhattan,12
558,Brooklyn,1
559,Manhattan,4
560,Brooklyn,9
561,Manhattan,12
562,Staten Island,6
563,Brooklyn,8
564,Staten Island,3
565,Staten Island,10
566,Queens,1
567,Queens,11
568,Queens,11
569,Staten Island,6
570,Brooklyn,10
571,Staten Island,8
572,Manhattan,12
573,Manhattan,7
574,Manhattan,2
575,Manhattan,8
576,Manhattan,8
577,Brooklyn,6
578,Manhattan,6
579,Manhattan,1
580,Manhattan,2
581,Manhattan,3
582,Manhattan,2
583,Manhattan,6
584,Bronx,6
585,Queens,5
586,Queens,4
587,Manhattan,3
588,Brooklyn,11
589,Bronx,2
590,Manhattan,1
591,Queens,3
592,Queens,4
593,Bronx,6
594,Brooklyn,7
595,Manhattan,4
596,Brooklyn,7
597,Manhattan,8
598,Queens,7
599,Brooklyn,3
600,Brooklyn,1
601,Manhattan,10
602,Manhattan,4
603,Manhattan,2
604,Queens,5
605,Manhattan,10
606,Queens,8
607,Manhattan,12
608,Brooklyn,1
609,Brooklyn,6
610,Bronx,5
611,Manhattan,12
612,Brooklyn,10
613,Manhattan,9
614,Brooklyn,6
615,Queens,3
616,Brooklyn,3
617,Queens,7
618,Brooklyn,5
619,Brooklyn,6
620,Queens,6
621,Manhattan,8
622,Bronx,5
623,Brooklyn,8
624,Brooklyn,2
625,Queens,8
626,Brooklyn,12
627,Queens,7
628,Brooklyn,7
629,Manhattan,1
630,Brooklyn,12
631,Manhattan,6
632,Brooklyn,8
633,Brooklyn,4
634,Queens,4
635,Brooklyn,7
636,Manhattan,12
637,Manhattan,9
638,Brooklyn,7
639,Brooklyn,1
640,Brooklyn,12
641,Manhattan,3
642,Manhattan,7
643,Manhattan,8
644,Manhattan,2
645,Manhattan,5
646,Manhattan,2
647,Manhattan,1
648,Brooklyn,2
649,Brooklyn,8
650,Manhattan,12
651,Manhattan,1
652,Manhattan,1
653,Brooklyn,8
654,Staten Island,5
655,Staten Island,5
656,Manhattan,4
657,Queens,8
658,Manhattan,6
659,Manhattan,10
660,Manhattan,9
661,Queens,1
662,Queens,5
663,Brooklyn,8
664,Queens,1
665,Brooklyn,3
666,Bronx,4
667,Queens,5
668,Bronx,2
669,Manhattan,2
670,Manhattan,6
671,Manhattan,10
672,Brooklyn,3
673,Manhattan,6
674,Manhattan,8
675,Queens,9
676,Brooklyn,10
677,Queens,5
678,Manhattan,9
679,Manhattan,7
680,Bronx,11
681,Manhattan,11
682,Queens,6
683,Brooklyn,2
684,Brooklyn,3
685,Queens,12
686,Brooklyn,5
687,Brooklyn,1
688,Manhattan,1
689,Brooklyn,3
690,Manhattan,12
691,Brooklyn,6
692,Manhattan,6
693,Manhattan,6
694,Brooklyn,5
695,Manhattan,3
696,Manhattan,2
697,Manhattan,8
698,Manhattan,9
699,Manhattan,3
700,Manhattan,9
701,Brooklyn,5
702,Brooklyn,4
703,Manhattan,8
704,Manhattan,3
705,Manhattan,6
706,Manhattan,5
707,Queens,4
708,Brooklyn,10
709,Manhattan,12
710,Brooklyn,6
711,Queens,3
712,Manhattan,5
713,Manhattan,4
714,Brooklyn,7
715,Staten Island,3
716,Manhattan,5
717,Bronx,2
718,Manhattan,10
719,Manhattan,10
720,Manhattan,4
721,Brooklyn,7
722,Manhattan,11
723,Brooklyn,1
724,Brooklyn,6
725,Bronx,9
726,Manhattan,9
727,Manhattan,2
728,Queens,4
729,Queens,3
730,Brooklyn,1
731,Manhattan,5
732,Brooklyn,6
733,Bronx,6
734,Queens,11
735,Brooklyn,5
736,Manhattan,8
737,Brooklyn,9
738,Brooklyn,1
739,Brooklyn,10
740,Manhattan,3
741,Bronx,1
742,Brooklyn,5
743,Queens,7
744,Manhattan,6
745,Manhattan,2
746,Staten Island,6
747,Brooklyn,6
748,Queens,11
749,Staten Island,1
750,Queens,7
751,Queens,7
752,Bronx,7
753,Manhattan,3
754,Bronx,3
755,Queens,5
756,Manhattan,2
757,Manhattan,7
758,Queens,12
759,Bronx,8
760,Staten Island,1
761,Manhattan,6
762,Queens,2
763,Queens,8
764,Queens,10
765,Queens,4
766,Manhattan,6
767,Brooklyn,7
768,Brooklyn,3
769,Brooklyn,11
770,Queens,4
771,Queens,7
772,Brooklyn,1
773,Manhattan,6
774,Queens,1
775,Manhattan,4
776,Queens,7
777,Manhattan,2
778,Brooklyn,1
779,Staten Island,6
780,Brooklyn,10
781,Manhattan,5
782,Brooklyn,6
783,Queens,8
784,Queens,9
785,Queens,5
786,Manhattan,1
787,Bronx,9
788,Queens,8
789,Brooklyn,5
790,Brooklyn,11
791,Manhattan,1
792,Manhattan,6
793,Brooklyn,5
794,Brooklyn,3
795,Brooklyn,5
796,Staten Island,7
797,Manhattan,1
798,Manhattan,11
799,Brooklyn,10
800,Manhattan,9
801,Manhattan,7
802,Manhattan,7
803,Queens,6
804,Manhattan,9
805,Queens,7
806,Manhattan,7
807,Queens,5
808,Staten Island,11
809,Manhattan,10
810,Brooklyn,5
811,Brooklyn,8
812,Queens,4
813,Manhattan,1
814,Queens,4
815,Bronx,11
816,Bronx,5
817,Staten Island,6
818,Brooklyn,7
819,Brooklyn,4
820,Staten Island,8
821,Manhattan,1
822,Manhattan,6
823,Queens,3
824,Queens,4
825,Brooklyn,11
826,Brooklyn,1
827,Queens,2
828,Manhattan,12
829,Manhattan,8
830,Manhattan,5
831,Manhattan,2
832,Staten Island,6
833,Staten Island,9
834,Manhattan,9
835,Manhattan,12
836,Brooklyn,10
837,Brooklyn,8
838,Manhattan,7
839,Manhattan,9
840,Manhattan,1
841,Manhattan,5
842,Manhattan,6
843,Manhattan,10
844,Manhattan,5
845,Manhattan,9
846,Manhattan,7
847,Brooklyn,4
848,Brooklyn,7
849,Manhattan,7
850,Manhattan,2
851,Queens,10
852,Manhattan,6
853,Brooklyn,3
854,Manhattan,5
855,Manhattan,4
856,Queens,10
857,Manhattan,3
858,Bronx,10
859,Staten Island,1
860,Manhattan,1
861,Manhattan,12
862,Bronx,1
863,Manhattan,2
864,Manhattan,10
865,Manhattan,1
866,Manhattan,7
867,Brooklyn,1
868,Brooklyn,5
869,Staten Island,1
870,Queens,6
871,Staten Island,4
872,Manhattan,1
873,Manhattan,5
874,Queens,10
875,Brooklyn,2
876,Manhattan,3
877,Queens,10
878,Bronx,8
879,Brooklyn,3
880,Manhattan,8
881,Manhattan,3
882,Staten Island,12
