Tract,AvgHI2014,AvgHI2015,AvgHi2016,AverageHI
242,28444.00,28304.00,36140.50,30962.83
243,46111.67,45415.00,45501.67,45676.11
243.01,37593.00,38067.00,48438.00,41366.00
243.02,18153.00,20371.00,18345.00,18956.33
244,51653.50,53837.00,51281.50,52257.33
244.01,91189.00,76787.00,75489.00,81155.00
244.02,83802.00,75167.00,83269.00,80746.00
245,45598.33,49277.33,50736.67,48537.44
245.01,26324.00,24864.00,21892.00,24360.00
245.02,26746.00,25605.00,28382.00,26911.00
246,54119.50,54466.50,54483.50,54356.50
247,44172.20,48746.80,49135.40,47351.47
248,65579.67,58286.33,62708.33,62191.44
249,47386.33,46629.33,51193.67,48403.11
250,45149.50,50458.00,59281.50,51629.67
251,45230.60,44224.60,46960.20,45471.80
252,55018.00,51463.50,49649.50,52043.67
253,36425.33,37076.00,41670.67,38390.67
253.01,54808.00,51302.00,59773.00,55294.33
253.02,49669.00,56676.00,62155.00,56166.67
254,45734.67,43746.67,44176.67,44552.67
255,43832.50,42395.50,45322.00,43850.00
256,43368.50,45136.00,44373.50,44292.67
257,55275.50,54511.75,55713.50,55166.92
258,50915.00,52756.50,51420.50,51697.33
259,52703.50,51221.00,51766.00,51896.83
259.01,33571.00,41289.00,46528.00,40462.67
259.02,18715.00,16140.00,16406.00,17087.00
260,42736.50,43990.00,46663.00,44463.17
261,43320.25,45525.25,47149.00,45331.50
262,61518.00,60792.50,64228.00,62179.50
263,37346.25,36691.75,36829.50,36955.83
264,55872.33,59167.33,55000.00,56679.89
265,42660.25,48356.75,50339.00,47118.67
266,43431.00,39206.50,40909.00,41182.17
266.01,51726.00,52450.00,58125.00,54100.33
266.02,43909.00,40755.00,43480.00,42714.67
267,46090.33,43074.33,41948.33,43704.33
267.01,36964.00,37061.00,27365.00,33796.67
267.02,34341.00,39432.00,36382.00,36718.33
268,42340.00,44548.00,55553.00,47480.33
269,40901.33,38263.67,39498.67,39554.56
269.01,44524.00,46900.00,42667.00,44697.00
269.02,43707.00,47024.00,40694.00,43808.33
270,34031.50,48370.00,45893.00,42764.83
271,47621.00,46043.33,47999.00,47221.11
272,58787.50,55329.50,53691.50,55936.17
273,45997.00,47521.00,48885.25,47467.75
273.01,78537.00,71724.00,68546.00,72935.67
273.02,95592.00,91023.00,88958.00,91857.67
274,47555.00,50227.00,52122.50,49968.17
274.01,76477.00,80673.00,83293.00,80147.67
274.02,71846.00,71849.00,70852.00,71515.67
275,66320.67,65535.00,68134.33,66663.33
276,46545.33,48980.00,54605.00,50043.44
277,32384.00,34704.50,35854.75,34314.42
277.02,61806.00,65764.00,58716.00,62095.33
277.04,98462.00,99107.00,98722.00,98763.67
277.05,76676.00,87800.00,79583.00,81353.00
277.06,78393.00,82308.00,81654.00,80785.00
278,41161.00,43032.00,43416.00,42536.33
279,62290.40,60270.80,62224.40,61595.20
280,65739.00,68383.00,69203.50,67775.17
281,60026.50,60673.25,59053.25,59917.67
282,56841.00,56248.50,66125.00,59738.17
283,40300.50,41111.50,42479.25,41297.08
284,66639.33,56906.50,74068.67,66992.13
285,46010.67,50804.67,50165.00,48993.44
285.01,97083.00,84861.00,92308.00,91417.33
285.02,20000.00,15135.00,16727.00,17287.33
286,51097.00,52695.50,58259.50,54017.33
287,40556.50,47702.50,47777.50,45345.50
288,59967.00,64234.33,70845.33,65015.56
289,43317.00,49314.00,52028.00,48219.67
290,49435.00,45179.00,52163.00,48925.67
291,35137.00,32683.00,36034.67,34618.22
291.02,82292.00,84559.00,89167.00,85339.33
291.03,74507.00,73611.00,74732.00,74283.33
291.04,89830.00,89511.00,87853.00,89064.67
292,36644.00,42740.00,45869.00,41751.00
293,40971.33,37114.33,42439.67,40175.11
293.01,106563.00,102045.00,103555.00,104054.33
293.02,94652.00,94695.00,96710.00,95352.33
294,58202.00,59548.00,61311.50,59687.17
295,71458.25,72431.25,71663.25,71850.92
296,43695.50,46944.00,52178.50,47606.00
297,68803.00,66416.00,66189.33,67136.11
298,51363.00,55938.00,50735.00,52678.67
299,22342.00,23197.50,25973.00,23837.50
300,47701.50,58210.50,52878.50,52930.17
301,65094.00,60841.00,64378.00,63437.67
302,53731.00,55953.00,56203.00,55295.67
303,39990.00,37207.00,42571.50,39922.83
303.01,59625.00,65606.00,65469.00,63566.67
303.02,80887.00,76542.00,84630.00,80686.33
304,41588.00,37837.00,39235.00,39553.33
305,55050.00,65701.00,72439.00,64396.67
306,61490.50,63553.00,54353.50,59799.00
307,53636.50,47978.00,46483.50,49366.00
307.01,81061.00,80846.00,84453.00,82120.00
308,57500.00,50189.00,45750.00,51146.33
309,48462.67,48042.00,54822.33,50442.33
309.02,46992.00,46136.00,46471.00,46533.00
309.03,53007.00,54185.00,57310.00,54834.00
309.04,55694.00,53094.00,55733.00,54840.33
310,99688.00,80724.00,81709.00,87373.67
311,40938.00,41683.00,46953.00,43191.33
312,60400.00,62275.00,68276.00,63650.33
313,35660.00,34817.00,41527.00,37334.67
314,62052.50,61939.50,69667.00,64553.00
315,49353.00,54113.00,57230.00,53565.33
316,64702.00,70759.00,62692.00,66051.00
317,66982.00,64207.00,56056.00,62415.00
317.01,40833.00,50205.00,52019.00,47685.67
317.02,46406.00,53111.00,62672.00,54063.00
317.03,196027.00,182401.00,180742.00,186390.00
317.04,152500.00,152692.00,156984.00,154058.67
318,52692.00,55739.00,62391.00,56940.67
319,42292.00,40744.00,48375.00,43803.67
319.01,27031.00,25064.00,23098.00,25064.33
319.02,31750.00,22656.00,23289.00,25898.33
320,71801.00,71806.00,69408.00,71005.00
321,36798.00,41094.00,42025.00,39972.33
323,62896.67,65913.33,72378.67,67062.89
324,28832.00,27946.00,25625.00,27467.67
325,39807.00,43245.00,47559.00,43537.00
326,45548.00,38631.00,40691.00,41623.33
327,53660.00,52683.50,50356.00,52233.17
328,46520.00,44523.67,46944.33,45996.00
329,59011.50,50536.50,49177.00,52908.33
330,44971.00,46362.33,45588.33,45640.56
331,37500.00,39301.00,37405.00,38068.67
332.01,44602.00,43038.00,44524.00,44054.67
332.02,40083.00,40638.00,42650.00,41123.67
333,45288.00,44608.00,42972.00,44289.33
334,43864.00,45739.00,45833.00,45145.33
334.01,66707.00,69320.00,77798.00,71275.00
334.02,40736.00,45991.00,45465.00,44064.00
335,72529.00,74073.50,75687.50,74096.67
336,44586.50,44360.00,52164.50,47037.00
337,56186.33,63195.00,67473.33,62284.89
338,36667.00,37043.00,41875.00,38528.33
339,54885.00,52282.00,53638.50,53601.83
340,28179.50,25932.00,27945.50,27352.33
341,49583.00,50417.00,50370.00,50123.33
342,29208.50,29980.00,33246.00,30811.50
343,47844.00,48399.50,48322.00,48188.50
344,68750.00,67813.00,61346.00,65969.67
345,47236.50,46819.50,42085.50,45380.50
347,37874.50,38364.00,41747.00,39328.50
348,36398.00,41251.00,46568.00,41405.67
349,30817.00,29754.00,30463.00,30344.67
350,44085.50,41616.50,44164.00,43288.67
351,51780.00,51621.67,54507.33,52636.33
352,41758.00,42673.50,46097.00,43509.50
353,43668.50,42772.00,43138.50,43193.00
354,47740.00,53158.00,50333.00,50410.33
355,32483.00,39850.00,47239.00,39857.33
356,56845.00,60694.00,63984.00,60507.67
356.01,31795.00,35954.00,44395.00,37381.33
356.02,33558.00,32348.00,35800.00,33902.00
357,32849.00,34495.00,34732.00,34025.33
358,68241.50,70162.50,70274.50,69559.50
359,25696.50,26574.00,28089.50,26786.67
360,82895.00,65938.00,63403.00,70745.33
360.01,25030.00,22384.00,19696.00,22370.00
360.02,16477.00,18738.00,17143.00,17452.67
361,28661.33,29241.67,30096.00,29333.00
362,27930.00,28750.00,29608.00,28762.67
363,36974.33,33693.67,34486.00,35051.33
364,41541.50,44791.50,49531.50,45288.17
365,62813.00,49375.00,43098.00,51762.00
365.01,30136.50,30070.50,30942.00,30383.00
365.02,28187.50,23552.00,27927.50,26555.67
366,54989.00,52868.50,55466.50,54441.33
367,41378.00,44953.33,42121.67,42817.67
368,67371.00,57906.00,57559.50,60945.50
369,30000.00,31059.00,40612.00,33890.33
369.01,17292.00,14821.00,15735.00,15949.33
369.02,25313.00,25100.00,23409.00,24607.33
370,59903.00,59175.50,53771.00,57616.50
371,39908.00,37714.33,42842.67,40155.00
372,47625.00,46250.00,45250.00,46375.00
373,37567.67,38136.67,36352.33,37352.22
374,22486.00,25974.00,27275.00,25245.00
374.01,52083.00,51857.00,46083.00,50007.67
374.02,26445.00,30449.00,31779.00,29557.67
375,44898.00,45614.00,45605.00,45372.33
375.04,20959.00,15707.00,19683.00,18783.00
376,63134.50,61168.50,62546.00,62283.00
377,43248.00,43274.00,44506.00,43676.00
378,40076.00,35625.00,34658.00,36786.33
379,39650.00,38925.33,38719.00,39098.11
380,34572.00,33506.00,35485.00,34521.00
381,32371.33,34029.00,36868.67,34423.00
382,31072.00,32130.50,31631.00,31611.17
383,57835.00,48712.00,65746.00,57431.00
383.01,24612.00,26295.00,28197.00,26368.00
383.02,16756.00,22917.00,22083.00,20585.33
384,65721.00,62500.00,61518.00,63246.33
385,28455.50,29685.00,34514.50,30885.00
386,47884.00,49835.00,49806.00,49175.00
387,25536.00,27896.00,30469.00,27967.00
388,52111.50,55715.00,59697.50,55841.33
389,34639.50,37649.50,39155.00,37148.00
390,39925.50,39023.00,42344.00,40430.83
391,30942.00,33101.50,34097.50,32713.67
392,35532.50,36291.00,40389.00,37404.17
393,36804.00,36567.50,35918.50,36430.00
